symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
GOOGL,-0.1491588545010916,0.17530752396045587,2006-11-01,11.98,12.84,11.64,12.13,4732874388,10.193076923076923,12,1,indicator <= low
GOOGL,-0.13554318488529038,0.15679578495463,2006-12-01,12.16,12.32,11.32,11.52,3662901432,10.51179487179487,12,1,indicator <= low
GOOGL,-0.07984782513084389,0.08677676074851216,2007-01-01,11.66,12.84,11.54,12.55,4978500516,10.72897435897436,12,1,indicator <= low
GOOGL,-0.12432656863936488,0.1419782354777903,2007-02-01,12.66,12.66,11.09,11.25,4552007436,11.08602564102564,12,1,indicator <= low
GOOGL,0.007451633805424425,-0.007396517664354303,2007-03-01,11.08,11.66,10.94,11.47,4719931344,11.162564102564103,12,0,indicator <= low
GOOGL,-0.01625497829686323,0.016523568544948096,2007-04-01,11.46,12.32,11.31,11.8,3714621660,11.273717948717948,12,1,indicator <= low
GOOGL,-0.0339819514946419,0.03517734637279235,2007-05-01,11.82,12.73,11.45,12.46,3979284732,11.418333333333333,12,1,indicator <= low
GOOGL,-0.07046170204064925,0.07580290365156163,2007-06-01,12.54,13.39,12.45,13.08,5156774064,11.656410256410258,12,1,indicator <= low
GOOGL,-0.09144974163985566,0.1006545766713166,2007-07-01,13.15,13.98,12.48,12.76,4660566768,11.947435897435899,12,1,indicator <= low
GOOGL,-0.04947634525099305,0.052051671732522696,2007-08-01,12.78,13.18,12.02,12.89,3544479972,12.147692307692308,12,0,indicator <= low
GOOGL,-0.04386226651548598,0.04587442266883026,2007-09-01,12.89,14.31,12.78,14.2,2773775448,12.324615384615386,12,1,indicator <= low
GOOGL,-0.11155464451397133,0.1255616272009715,2007-10-01,14.26,17.69,14.25,17.69,6211821960,12.669230769230769,12,1,indicator <= low
GOOGL,-0.23409279748108616,0.30564120132465433,2007-11-01,17.59,18.7,15.42,17.34,6852148992,13.472307692307695,12,1,indicator <= low
GOOGL,-0.18118521154958403,0.2212774049824771,2007-12-01,17.29,18.14,16.33,17.3,3409151436,14.157307692307691,12,1,indicator <= low
GOOGL,-0.1473915357998404,0.17287130258331398,2008-01-01,17.34,17.45,12.99,14.12,6305264424,14.784230769230767,12,0,indicator <= low
GOOGL,0.11156656394751649,-0.10036876563766828,2008-02-01,13.23,13.54,11.18,11.79,7080332580,14.706025641025644,12,0,indicator <= low
GOOGL,0.22038244241634042,-0.18058473701079,2008-03-01,11.8,11.83,10.31,11.02,5818795380,14.400512820512818,12,0,indicator <= low
GOOGL,0.24941620879120854,-0.19962619904900625,2008-04-01,11.2,14.64,11.04,14.37,5716066212,13.993461538461535,12,0,indicator <= low
GOOGL,-0.026066308720075173,0.026763945999053934,2008-05-01,14.47,15.08,13.46,14.66,4181126688,14.092820512820513,12,0,indicator <= low
GOOGL,-0.027768984559107906,0.02856212578912131,2008-06-01,14.58,14.72,12.89,13.17,3747632616,14.175128205128207,12,0,indicator <= low
GOOGL,0.07601577909270209,-0.07064559885617913,2008-07-01,13.0,13.91,11.65,11.86,4159276560,13.988205128205127,12,0,indicator <= low
GOOGL,0.1524252679075012,-0.13226477425669872,2008-08-01,11.82,12.78,11.56,11.59,2749823424,13.621666666666664,12,0,indicator <= low
GOOGL,0.11352547982891661,-0.10195139840568247,2008-09-01,11.93,12.07,9.53,10.02,5357776860,13.284358974358975,12,0,indicator <= low
GOOGL,0.2348932246891433,-0.19021338848812003,2008-10-01,10.29,10.43,7.74,8.99,7963852176,12.707051282051284,12,0,indicator <= low
GOOGL,0.3379315284343218,-0.2525775955289558,2008-11-01,8.95,9.32,6.19,7.33,6314998680,11.974487179487179,12,0,indicator <= low
GOOGL,0.5451668275936056,-0.3528206908522825,2008-12-01,7.17,8.25,6.57,7.7,4515775704,11.078846153846152,12,0,indicator <= low
GOOGL,0.3468347283114122,-0.25751840297900147,2009-01-01,7.72,8.82,7.08,8.47,4390872732,10.397564102564102,12,0,indicator <= low
GOOGL,0.18752871978678443,-0.15791510273575057,2009-02-01,8.37,9.53,8.25,8.46,4458948588,9.939615384615385,12,0,indicator <= low
GOOGL,0.14380803049867816,-0.1257274181192631,2009-03-01,8.34,8.99,7.24,8.71,4554452988,9.539358974358976,12,0,indicator <= low
GOOGL,0.07249552772808596,-0.0675951795171178,2009-04-01,8.6,10.1,8.52,9.91,3509802684,9.223461538461539,12,0,indicator <= low
GOOGL,-0.07589899147027572,0.08213278718419924,2009-05-01,9.89,10.44,9.63,10.44,2279130588,9.139358974358974,12,1,indicator <= low
