symbol,date,open,high,low,close,volume,Moving_Average,condition
GOOGL,2013-03-01,19.96,21.12,19.85,19.87,1700254044,16.966666666666665,0
GOOGL,2013-04-01,19.9,20.71,19.05,20.63,2139945912,17.288333333333334,0
GOOGL,2013-05-01,20.6,23.04,20.43,21.8,1974715308,17.745833333333334,0
GOOGL,2013-06-01,21.85,22.79,21.2,22.03,1941280776,18.374166666666667,0
GOOGL,2013-07-01,22.18,23.22,21.91,22.22,2047770180,19.009166666666665,0
GOOGL,2013-08-01,22.4,22.77,21.16,21.19,1338144516,19.546666666666667,0
GOOGL,2013-09-01,21.38,22.67,21.37,21.92,1323615060,19.900833333333335,0
GOOGL,2013-10-01,22.03,26.06,21.1,25.79,2206771020,20.153333333333332,0
GOOGL,2013-11-01,25.82,26.73,25.15,26.52,1049213736,20.888333333333335,0
GOOGL,2013-12-01,26.61,28.05,26.25,28.05,1352374272,21.641666666666666,0
GOOGL,2014-01-01,27.91,29.69,27.08,29.55,2178287532,22.4675,0
GOOGL,2014-02-01,29.51,30.75,28.23,30.42,1620230148,23.34583333333333,0
GOOGL,2014-03-01,30.2,30.71,27.58,27.89,1744505748,24.199166666666667,0
GOOGL,2014-04-01,28.03,29.42,25.55,26.74,1421285316,24.876666666666665,0
GOOGL,2014-05-01,26.71,28.88,25.55,28.58,829136000,25.385833333333334,0
GOOGL,2014-06-01,28.49,29.48,27.37,29.23,789784000,25.939166666666665,0
GOOGL,2014-07-01,29.38,30.45,28.6,28.98,771666000,26.539166666666663,0
GOOGL,2014-08-01,28.93,29.89,28.37,29.12,581574000,27.083333333333332,0
GOOGL,2014-09-01,29.15,30.27,28.85,29.42,708502000,27.730833333333333,0
GOOGL,2014-10-01,29.34,29.62,25.92,28.39,1109632000,28.34,0
GOOGL,2014-11-01,28.18,28.36,26.96,27.45,595410000,28.536666666666665,1
GOOGL,2014-12-01,27.25,27.44,24.86,26.53,1088686000,28.590000000000003,1
GOOGL,2015-01-01,26.63,27.27,24.55,26.88,1056926000,28.483333333333334,1
GOOGL,2015-02-01,26.72,28.47,26.09,28.13,808386000,28.250833333333333,1
GOOGL,2015-03-01,28.35,29.16,27.52,27.74,864144000,28.096666666666668,0
GOOGL,2015-04-01,27.74,29.24,26.45,27.44,874900000,28.0725,1
GOOGL,2015-05-01,27.53,27.91,26.61,27.27,648434000,28.140833333333333,1
GOOGL,2015-06-01,27.44,28.28,26.94,27.0,704328000,28.05333333333333,1
GOOGL,2015-07-01,27.18,35.67,26.99,32.88,1370858000,27.87,1
GOOGL,2015-08-01,32.88,35.2,29.65,32.39,1106942000,28.199166666666667,0
GOOGL,2015-09-01,31.69,34.1,30.89,31.92,871504000,28.410833333333333,0
