symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_3_months,moving_average_window_months,condition,screening_rule
GOOG,-0.04286628278950741,0.044786096256684546,2006-05-01,10.42,10.45,8.98,9.26,7063970623,9.973333333333333,3,0,indicator >= open
GOOG,0.04731182795698919,-0.04517453798767962,2006-06-01,9.3,10.44,9.26,10.44,5716571099,9.74,3,1,indicator >= open
GOOG,-0.03760356915232625,0.03907284768211913,2006-07-01,10.46,10.66,9.41,9.63,5119995337,10.066666666666668,3,0,indicator >= open
GOOG,0.025199860966284373,-0.024580437362264836,2006-08-01,9.59,9.71,9.05,9.43,4294918292,9.831666666666667,3,1,indicator >= open
GOOG,0.020547945205479482,-0.020134228187919493,2006-09-01,9.49,10.43,9.38,10.01,4880280180,9.685,3,1,indicator >= open
GOOG,-0.024309024309024204,0.02491467576791798,2006-10-01,10.01,12.25,9.92,11.87,6364325977,9.766666666666667,3,0,indicator >= open
GOOG,-0.08738814317673388,0.09575609008732967,2006-11-01,11.92,12.78,11.58,12.07,4755369734,10.878333333333332,3,0,indicator >= open
GOOG,-0.03374655647382904,0.03492516037063419,2006-12-01,12.1,12.26,11.27,11.47,3680311197,11.691666666666668,3,0,indicator >= open
GOOG,0.018518518518518354,-0.018181818181818025,2007-01-01,11.61,12.78,11.48,12.49,5002163322,11.824999999999998,3,1,indicator >= open
GOOG,-0.03280423280423272,0.03391684901531719,2007-02-01,12.6,12.6,11.03,11.19,4573643120,12.186666666666667,3,0,indicator >= open
GOOG,0.056210335448776155,-0.053218884120171756,2007-03-01,11.03,11.61,10.88,11.41,4742365168,11.65,3,1,indicator >= open
GOOG,0.006725146198830369,-0.006680220737728686,2007-04-01,11.4,12.27,11.26,11.74,3732277253,11.476666666666667,3,1,indicator >= open
GOOG,-0.020549886621315232,0.020981044711329805,2007-05-01,11.76,12.67,11.39,12.4,3998198267,11.518333333333333,3,0,indicator >= open
GOOG,-0.033653846153846145,0.03482587064676616,2007-06-01,12.48,13.32,12.39,13.02,5181284205,12.06,3,0,indicator >= open
GOOG,-0.03246753246753252,0.03355704697986583,2007-07-01,13.09,13.91,12.43,12.7,4682718433,12.665,3,0,indicator >= open
