symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,EMA_12_months,moving_average_window_months,condition,screening_rule
GOOG,0.35176934677834026,-0.26022882351690324,2008-11-01,8.91,9.27,6.16,7.3,6345013858,12.044264879795012,12,1,indicator >= low
GOOG,0.5811992423803614,-0.3675686319615327,2008-12-01,7.14,8.21,6.54,7.66,4537239177,11.28976259059578,12,1,indicator >= low
GOOG,0.39609271277936947,-0.2837151925181388,2009-01-01,7.69,8.78,7.04,8.43,4411742543,10.735952961273352,12,1,indicator >= low
GOOG,0.24439452002961373,-0.196396332590566,2009-02-01,8.33,9.49,8.21,8.42,4480141965,10.365806351846683,12,1,indicator >= low
GOOG,0.2106012036173632,-0.17396414524293524,2009-03-01,8.3,8.95,7.21,8.67,4576100295,10.047989990024115,12,1,indicator >= low
GOOG,0.1470874361095009,-0.1282268739760305,2009-04-01,8.56,10.06,8.48,9.86,3526484770,9.819068453097328,12,1,indicator >= low
GOOG,-0.001799929768053404,0.0018031753570555888,2009-05-01,9.84,10.39,9.58,10.39,2289963292,9.822288691082354,12,1,indicator >= low
GOOG,-0.049301750852526784,0.05185846392032121,2009-06-01,10.43,11.14,10.01,10.5,2829004207,9.915782738608145,12,0,indicator >= low
GOOG,-0.05237166054370433,0.05526603454446362,2009-07-01,10.57,11.28,9.86,11.03,2931635455,10.016431548053045,12,1,indicator >= low
GOOG,-0.08806421474760215,0.09656843844901698,2009-08-01,11.18,11.81,10.92,11.5,1956851371,10.195442079121808,12,0,indicator >= low
GOOG,-0.09271170392784751,0.10218549531523394,2009-09-01,11.45,12.63,11.27,12.35,2050842356,10.388450990026145,12,0,indicator >= low
GOOG,-0.13033725325552745,0.14987103189533724,2009-10-01,12.28,13.99,12.02,13.35,3098550758,10.679458530022123,12,0,indicator >= low
GOOG,-0.17078277664572064,0.20595662009392982,2009-11-01,13.38,14.62,13.16,14.52,1642381057,11.094926448480258,12,0,indicator >= low
GOOG,-0.205333730988276,0.25838989144919483,2009-12-01,14.65,15.59,14.43,15.44,1711202055,11.641860841021757,12,0,indicator >= low
GOOG,-0.21550049615266756,0.2746980655766037,2010-01-01,15.62,15.68,13.09,13.2,3577378821,12.253882250095332,12,0,indicator >= low
GOOG,-0.06772519778789186,0.0726451016665827,2010-02-01,13.32,13.64,12.95,13.12,2089173495,12.41790036546528,12,0,indicator >= low
GOOG,-0.04892667199650938,0.05144363799920358,2010-03-01,13.18,14.65,13.14,14.13,3363548325,12.535146463086006,12,0,indicator >= low
GOOG,-0.1007805227636842,0.1120755558736624,2010-04-01,14.23,14.89,12.98,13.09,2933394020,12.795893161072774,12,0,indicator >= low
GOOG,-0.020273280691189728,0.020692791460757927,2010-05-01,13.11,13.27,11.46,12.1,3274676457,12.844217290138502,12,1,indicator >= low
GOOG,0.06179802192354932,-0.05820129690164261,2010-06-01,11.97,12.68,11.08,11.08,2403503278,12.709722322424886,12,1,indicator >= low
GOOG,0.12358289204878786,-0.10999000867968155,2010-07-01,11.09,12.39,10.8,12.08,2782791635,12.460534272821057,12,1,indicator >= low
GOOG,0.01948892889372009,-0.019116371292887062,2010-08-01,12.18,12.67,11.15,11.21,2122132569,12.41737515392551,12,1,indicator >= low
GOOG,0.08120800253364528,-0.07510858441978488,2010-09-01,11.33,13.37,11.27,13.1,2396990959,12.250086668706201,12,1,indicator >= low
GOOG,-0.0608918802111409,0.06484011683855029,2010-10-01,13.2,15.56,12.92,15.29,3185812619,12.39622718121294,12,0,indicator >= low
GOOG,-0.16237840240024906,0.19385651332959056,2010-11-01,15.34,15.71,13.78,13.84,2346438185,12.84911530718018,12,0,indicator >= low
GOOG,-0.07066680358289273,0.07604033069660815,2010-12-01,14.02,15.12,14.01,14.79,1697747812,13.029251413767843,12,0,indicator >= low
GOOG,-0.10424595946036708,0.11637788359577561,2011-01-01,14.86,16.01,14.83,14.95,2408369449,13.310905042418945,12,0,indicator >= low
GOOG,-0.09827379984365923,0.1089840794540744,2011-02-01,15.06,15.72,14.98,15.28,1681037411,13.579996574354492,12,0,indicator >= low
GOOG,-0.09951535803519057,0.11051310971617836,2011-03-01,15.39,15.42,13.73,14.61,2414576630,13.858458639838418,12,1,indicator >= low
GOOG,-0.046263799778452096,0.04850796244045812,2011-04-01,14.66,14.82,12.93,13.55,2820199328,13.981772695247892,12,1,indicator >= low
GOOG,0.024392933988378367,-0.02381208731439288,2011-05-01,13.59,13.59,12.79,13.18,1819912003,13.921499972902062,12,1,indicator >= low
GOOG,0.04964316877404314,-0.04729528114971216,2011-06-01,13.15,13.28,11.78,12.61,2373868616,13.802807669378668,12,1,indicator >= low
GOOG,0.0793056464900973,-0.07347839488100458,2011-07-01,12.62,15.63,12.61,15.04,3254372638,13.620837258705027,12,1,indicator >= low
