symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_6_months,moving_average_window_months,condition,screening_rule
GOOG,0.09479305740987991,-0.0865853658536586,2008-08-01,11.77,12.72,11.5,11.54,2762893330,12.885714285714286,6,0,indicator < high
GOOG,0.06434789585589924,-0.06045757792770722,2008-09-01,11.87,12.01,9.48,9.98,5383242366,12.633809523809523,6,0,indicator < high
GOOG,0.1630859375,-0.14021830394626364,2008-10-01,10.24,10.39,7.71,8.95,8001704352,11.91,6,0,indicator < high
GOOG,0.21767943990166208,-0.17876580056179772,2008-11-01,8.91,9.27,6.16,7.3,6345013858,10.84952380952381,6,0,indicator < high
GOOG,0.33680138722155545,-0.2519457194172821,2008-12-01,7.14,8.21,6.54,7.66,4537239177,9.544761904761906,6,0,indicator < high
GOOG,0.1375936590500958,-0.12095149964618133,2009-01-01,7.69,8.78,7.04,8.43,4411742543,8.748095238095237,6,1,indicator < high
GOOG,0.006516892471274115,-0.006474697563468967,2009-02-01,8.33,9.49,8.21,8.42,4480141965,8.384285714285713,6,1,indicator < high
GOOG,-0.014974182444061887,0.015201817228726114,2009-03-01,8.3,8.95,7.21,8.67,4576100295,8.175714285714287,6,1,indicator < high
GOOG,-0.04072096128170896,0.04244954766875437,2009-04-01,8.56,10.06,8.48,9.86,3526484770,8.211428571428572,6,1,indicator < high
GOOG,-0.11657955865272936,0.13196384552177481,2009-05-01,9.84,10.39,9.58,10.39,2289963292,8.692857142857143,6,1,indicator < high
GOOG,-0.10847829064511713,0.12167767706252884,2009-06-01,10.43,11.14,10.01,10.5,2829004207,9.298571428571428,6,1,indicator < high
GOOG,-0.07401901157814104,0.07993577892381028,2009-07-01,10.57,11.28,9.86,11.03,2931635455,9.78761904761905,6,1,indicator < high
GOOG,-0.07747678677911242,0.08398356341474683,2009-08-01,11.18,11.81,10.92,11.5,1956851371,10.313809523809523,6,1,indicator < high
GOOG,-0.05839051777916396,0.06201139525639315,2009-09-01,11.45,12.63,11.27,12.35,2050842356,10.781428571428572,6,1,indicator < high
GOOG,-0.07685745307895143,0.08325632193564647,2009-10-01,12.28,13.99,12.02,13.35,3098550758,11.336190476190476,6,1,indicator < high
GOOG,-0.10103921987330064,0.1123955817728335,2009-11-01,13.38,14.62,13.16,14.52,1642381057,12.028095238095238,6,1,indicator < high
