symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,WMA_12_months,moving_average_window_months,condition,screening_rule
GOOG,0.018403639371381286,-0.018071065989847698,2006-06-01,9.3,10.44,9.26,10.44,5716571099,9.471153846153847,12,1,indicator <= high
GOOG,-0.07271902730793754,0.07842178309430982,2006-07-01,10.46,10.66,9.41,9.63,5119995337,9.699358974358974,12,1,indicator <= high
GOOG,0.017085104676345657,-0.016798107255520608,2006-08-01,9.59,9.71,9.05,9.43,4294918292,9.753846153846155,12,0,indicator <= high
GOOG,0.028667153008564938,-0.027868249632275608,2006-09-01,9.49,10.43,9.38,10.01,4880280180,9.762051282051281,12,1,indicator <= high
GOOG,-0.018993826686134425,0.019361577126444336,2006-10-01,10.01,12.25,9.92,11.87,6364325977,9.819871794871794,12,1,indicator <= high
GOOG,-0.1490492170022372,0.17515609595793633,2006-11-01,11.92,12.78,11.58,12.07,4755369734,10.143333333333333,12,1,indicator <= high
GOOG,-0.13550540368722183,0.1567452292532264,2006-12-01,12.1,12.26,11.27,11.47,3680311197,10.460384615384616,12,1,indicator <= high
GOOG,-0.08031316946045602,0.08732664945668457,2007-01-01,11.61,12.78,11.48,12.49,5002163322,10.677564102564105,12,1,indicator <= high
GOOG,-0.12435897435897422,0.14202049780380654,2007-02-01,12.6,12.6,11.03,11.19,4573643120,11.033076923076925,12,1,indicator <= high
GOOG,0.007229699886091697,-0.0071778064992615975,2007-03-01,11.03,11.61,10.88,11.41,4742365168,11.10974358974359,12,1,indicator <= high
GOOG,-0.015823211875843374,0.01607761132631715,2007-04-01,11.4,12.27,11.26,11.74,3732277253,11.219615384615386,12,1,indicator <= high
GOOG,-0.033751962323390894,0.03493095044679123,2007-05-01,11.76,12.67,11.39,12.4,3998198267,11.363076923076923,12,1,indicator <= high
GOOG,-0.07050254766600933,0.07585017849051197,2007-06-01,12.48,13.32,12.39,13.02,5181284205,11.600128205128204,12,1,indicator <= high
GOOG,-0.09165344459462099,0.10090140602087458,2007-07-01,13.09,13.91,12.43,12.7,4682718433,11.890256410256411,12,1,indicator <= high
GOOG,-0.048921705097944454,0.05143814695401343,2007-08-01,12.71,13.12,11.97,12.83,3561326880,12.088205128205127,12,1,indicator <= high
GOOG,-0.04406739013130275,0.04609884596086292,2007-09-01,12.83,14.24,12.72,14.13,2786959199,12.264615384615386,12,1,indicator <= high
GOOG,-0.11204405922715761,0.1261820030503302,2007-10-01,14.2,17.61,14.19,17.61,6241346740,12.608974358974361,12,1,indicator <= high
GOOG,-0.2338681318681319,0.30525832640064265,2007-11-01,17.5,18.61,15.34,17.26,6884717244,13.407307692307691,12,1,indicator <= high
GOOG,-0.18131974552660207,0.22147809787257286,2007-12-01,17.21,18.05,16.25,17.22,3425355126,14.089487179487179,12,1,indicator <= high
GOOG,-0.14751760406453357,0.17304475115014664,2008-01-01,17.26,17.37,12.93,14.05,6335233336,14.713846153846152,12,1,indicator <= high
GOOG,0.11135447695812167,-0.10019708316909742,2008-02-01,13.17,13.48,11.13,11.74,7113985391,14.636538461538462,12,0,indicator <= high
GOOG,0.22077709343467422,-0.1808496363685156,2008-03-01,11.74,11.77,10.26,10.97,5846452106,14.331923076923076,12,0,indicator <= high
GOOG,0.2490973899045649,-0.19942191210854804,2008-04-01,11.15,14.57,10.98,14.3,5743234666,13.927435897435899,12,1,indicator <= high
GOOG,-0.025961538461538466,0.026653504442250748,2008-05-01,14.4,15.01,13.4,14.59,4200999578,14.026153846153846,12,1,indicator <= high
GOOG,-0.027708565268868387,0.028498209774449626,2008-06-01,14.51,14.65,12.83,13.11,3765445109,14.10794871794872,12,1,indicator <= high
