symbol,moving_average_minus_open_over_open,open_minus_moving_average_over_moving_average,date,open,high,low,close,volume,SMA_3_months,moving_average_window_months,condition,screening_rule
GOOG,-0.023293172690763052,0.023848684210526317,2009-03-01,8.3,8.95,7.21,8.67,4576100295,8.106666666666667,3,1,indicator <= close
GOOG,-0.019080996884735073,0.019452163556966915,2009-04-01,8.56,10.06,8.48,9.86,3526484770,8.396666666666668,3,1,indicator <= close
GOOG,-0.0955284552845528,0.10561797752808982,2009-05-01,9.84,10.39,9.58,10.39,2289963292,8.9,3,1,indicator <= close
GOOG,-0.07861936720997127,0.08532778355879296,2009-06-01,10.43,11.14,10.01,10.5,2829004207,9.61,3,1,indicator <= close
GOOG,-0.027436140018921563,0.0282101167315176,2009-07-01,10.57,11.28,9.86,11.03,2931635455,10.28,3,1,indicator <= close
GOOG,-0.040548598688133555,0.042262274704785566,2009-08-01,11.18,11.81,10.92,11.5,1956851371,10.726666666666667,3,1,indicator <= close
GOOG,-0.03347889374090228,0.03463855421686726,2009-09-01,11.45,12.63,11.27,12.35,2050842356,11.066666666666668,3,1,indicator <= close
GOOG,-0.0523887079261673,0.05528501861930689,2009-10-01,12.28,13.99,12.02,13.35,3098550758,11.636666666666665,3,1,indicator <= close
GOOG,-0.07548579970104645,0.08164915117219092,2009-11-01,13.38,14.62,13.16,14.52,1642381057,12.37,3,1,indicator <= close
GOOG,-0.08282138794084183,0.09030017365418007,2009-12-01,14.65,15.59,14.43,15.44,1711202055,13.436666666666667,3,1,indicator <= close
GOOG,-0.06850192061459669,0.07353951890034367,2010-01-01,15.62,15.68,13.09,13.2,3577378821,14.549999999999999,3,0,indicator <= close
GOOG,0.09084084084084076,-0.08327598072952506,2010-02-01,13.32,13.64,12.95,13.12,2089173495,14.53,3,0,indicator <= close
GOOG,0.06525037936267067,-0.06125356125356122,2010-03-01,13.18,14.65,13.14,14.13,3363548325,14.04,3,1,indicator <= close
GOOG,-0.04591239166081043,0.04812177755953835,2010-04-01,14.23,14.89,12.98,13.09,2933394020,13.576666666666668,3,0,indicator <= close
GOOG,0.030256801423849605,-0.029368213228035654,2010-05-01,13.11,13.27,11.46,12.1,3274676457,13.506666666666668,3,0,indicator <= close
GOOG,0.09468114731272621,-0.08649198677181374,2010-06-01,11.97,12.68,11.08,11.08,2403503278,13.103333333333333,3,0,indicator <= close
GOOG,0.08716561466786896,-0.08017694221730717,2010-07-01,11.09,12.39,10.8,12.08,2782791635,12.056666666666667,3,1,indicator <= close
GOOG,-0.03557744937055299,0.03688989784336,2010-08-01,12.18,12.67,11.15,11.21,2122132569,11.746666666666664,3,0,indicator <= close
GOOG,0.017946454839658708,-0.017630057803468192,2010-09-01,11.33,13.37,11.27,13.1,2396990959,11.533333333333333,3,1,indicator <= close
GOOG,-0.07297979797979795,0.07872514301280302,2010-10-01,13.2,15.56,12.92,15.29,3185812619,12.236666666666666,3,1,indicator <= close
GOOG,-0.13363754889178622,0.15425131677953355,2010-11-01,15.34,15.71,13.78,13.84,2346438185,13.29,3,1,indicator <= close
GOOG,0.01188777936281511,-0.011748120300751962,2010-12-01,14.02,15.12,14.01,14.79,1697747812,14.186666666666667,3,1,indicator <= close
GOOG,-0.0080753701211305,0.008141112618724506,2011-01-01,14.86,16.01,14.83,14.95,2408369449,14.74,3,1,indicator <= close
GOOG,-0.02744577246569283,0.028220300409649568,2011-02-01,15.06,15.72,14.98,15.28,1681037411,14.646666666666667,3,1,indicator <= close
GOOG,-0.0186268139484514,0.018980357536967585,2011-03-01,15.39,15.42,13.73,14.61,2414576630,15.103333333333333,3,0,indicator <= close
GOOG,0.025693497044110978,-0.025049878075814692,2011-04-01,14.66,14.82,12.93,13.55,2820199328,15.036666666666667,3,0,indicator <= close
GOOG,0.07039489820946777,-0.06576535288725942,2011-05-01,13.59,13.59,12.79,13.18,1819912003,14.546666666666667,3,0,indicator <= close
GOOG,0.049429657794676694,-0.04710144927536222,2011-06-01,13.15,13.28,11.78,12.61,2373868616,13.799999999999999,3,0,indicator <= close
GOOG,0.03961965134706815,-0.038109756097560975,2011-07-01,12.62,15.63,12.61,15.04,3254372638,13.12,3,1,indicator <= close
